"Gobierno de Cordoba Argentina","2012","10","5"
"ADN TV","2014","11","5"
"Canal 12 Blog","2011","4","5"
"Gobierno de Cordoba Argentina","2013","1","5"
"Gobierno de Cordoba Argentina","2013","3","5"
"Canal 10 de Cordoba","2012","10","5"
"ADN TV","2014","6","5"
"Canal 10 de Cordoba","2013","1","5"
"Hoy no duermo en casa","2013","7","5"
"ADN TV","2014","10","4"
"Canal 12 Blog","2013","6","4"
"Canal 12 Blog","2012","12","4"
"Dia a dia cordoba","2012","1","4"
"Resumen de TV cordobesa Kakaroto","2013","7","4"
"ADN TV","2014","9","4"
"Resumen de TV cordobesa Kakaroto","2014","11","4"
"Mariano Saravia","2014","11","4"
"ADN TV","2013","6","4"
"Hoy no duermo en casa","2014","11","4"
"Dia a dia cordoba","2012","6","4"
"Gobierno de Cordoba Argentina","2012","11","4"
"Resumen de TV cordobesa Kakaroto","2011","12","4"
"Canal 10 de Cordoba","2012","5","4"
"Gobierno de Cordoba Argentina","2012","6","4"
"Hoy no duermo en casa","2014","10","4"
"Dia a dia cordoba","2013","4","4"
"Resumen de TV cordobesa Kakaroto","2010","7","4"
"Hoy no duermo en casa","2014","12","4"
"Dia a dia cordoba","2013","1","3"
"Resumen de TV cordobesa Kakaroto","2013","11","3"
"Canal 10 de Cordoba","2013","5","3"
"Resumen de TV cordobesa Kakaroto","2010","11","3"
"Canal 12 Blog","2011","10","3"
"Mariano Saravia","2014","8","3"
"Canal 10 de Cordoba","2012","2","3"
"Gobierno de Cordoba Argentina","2012","12","3"
"Canal 12 Blog","2012","11","3"
"Resumen de TV cordobesa Kakaroto","2014","5","3"
"Canal 12 Blog","2012","2","3"
"Canal 10 de Cordoba","2013","3","3"
"Gobierno de Cordoba Argentina","2013","5","3"
"Canal 10 de Cordoba","2012","3","3"
"Gobierno de Cordoba Argentina","2012","5","3"
"Hoy no duermo en casa","2014","9","3"
"Dia a dia cordoba","2012","4","3"
"Dia a dia cordoba","2013","3","3"
"Canal 10 de Cordoba","2013","4","3"
"Dia a dia cordoba","2012","11","3"
"Canal 12 Blog","2010","10","3"
"Gobierno de Cordoba Argentina","2013","4","3"
"Canal 12 Blog","2013","5","3"
"Canal 10 de Cordoba","2012","11","3"
"ADN TV","2014","8","3"
"Gobierno de Cordoba Argentina","2013","2","3"
"Canal 12 Blog","2012","1","2"
"Canal 12 Blog","2008","12","2"
"Canal 12 Blog","2009","12","2"
"Canal 12 Blog","2010","9","2"
"Dia a dia cordoba","2009","11","2"
"Canal 10 de Cordoba","2012","1","2"
"Hoy no duermo en casa","2014","5","2"
"Resumen de TV cordobesa Kakaroto","2013","4","2"
"Resumen de TV cordobesa Kakaroto","2013","5","2"
"Resumen de TV cordobesa Kakaroto","2011","6","2"
"Resumen de TV cordobesa Kakaroto","2012","12","2"
"Dia a dia cordoba","2012","3","2"
"Canal 10 de Cordoba","2010","6","2"
"Zoom Contenidos","2014","11","2"
"Canal 12 Blog","2011","6","2"
"Resumen de TV cordobesa Kakaroto","2010","3","2"
"Resumen de TV cordobesa Kakaroto","2011","9","2"
"Resumen de TV cordobesa Kakaroto","2012","6","2"
"Dia a dia cordoba","2012","9","2"
"Canal 10 de Cordoba","2012","12","2"
"Hoy no duermo en casa","2014","4","2"
"Hoy no duermo en casa","2014","8","2"
"Resumen de TV cordobesa Kakaroto","2011","7","2"
"Resumen de TV cordobesa Kakaroto","2014","4","2"
"Resumen de TV cordobesa Kakaroto","2010","4","2"
"Resumen de TV cordobesa Kakaroto","2010","6","2"
"Canal 12 Blog","2011","9","2"
"Dia a dia cordoba","2011","12","2"
"Resumen de TV cordobesa Kakaroto","2011","4","2"
"Hoy no duermo en casa","2013","5","2"
"Dia a dia cordoba","2012","10","2"
"Resumen de TV cordobesa Kakaroto","2010","5","1"
"Canal 12 Blog","2008","6","1"
"Canal 12 Blog","2012","8","1"
"Canal 10 de Cordoba","2012","9","1"
"Dia a dia cordoba","2011","11","1"
"Canal 10 de Cordoba","2010","5","1"
"Mariano Saravia","2014","4","1"
"Canal 10 de Cordoba","2011","11","1"
"Canal 12 Blog","2010","11","1"
"Canal 12 Blog","2012","10","1"
"ADN TV","2014","3","1"
"Dia a dia cordoba","2012","12","1"
"Resumen de TV cordobesa Kakaroto","2012","4","1"
"Resumen de TV cordobesa Kakaroto","2011","11","1"
"Canal 12 Blog","2012","6","1"
"Canal 10 de Cordoba","2012","8","1"
"Canal 12 Blog","2012","4","1"
"Dia a dia cordoba","2011","6","1"
"Resumen de TV cordobesa Kakaroto","2010","10","1"
"Canal 12 Blog","2012","5","1"
"Dia a dia cordoba","2013","2","1"
"Resumen de TV cordobesa Kakaroto","2012","1","1"
"Resumen de TV cordobesa Kakaroto","2010","8","1"
"Canal 12 Blog","2011","11","1"
"Dia a dia cordoba","2008","12","1"
"Dia a dia cordoba","2011","4","1"
"Resumen de TV cordobesa Kakaroto","2011","10","1"
"Dia a dia cordoba","2010","1","1"
"Resumen de TV cordobesa Kakaroto","2011","8","1"
"Dia a dia cordoba","2012","2","1"
"Resumen de TV cordobesa Kakaroto","2011","3","1"
"Canal 12 Blog","2009","6","1"
"Gobierno de Cordoba Argentina","2012","9","1"
"Hoy no duermo en casa","2012","12","1"
"Canal 12 Blog","2013","3","1"
"Dia a dia cordoba","2009","5","1"
"Hoy no duermo en casa","2013","3","1"
"Canal 12 Blog","2009","5","1"
"Resumen de TV cordobesa Kakaroto","2010","2","1"
"Canal 12 Blog","2012","3","1"
"Canal 12 Blog","2009","9","1"
"nombre","anio","mes","total"
"Canal 10 de Cordoba","2015","9","759"
"Canal 10 de Cordoba","2015","10","658"
"Canal 10 de Cordoba","2016","11","648"
"Canal 10 de Cordoba","2016","10","630"
"Canal 12 Blog","2015","3","620"
"Canal 10 de Cordoba","2015","7","613"
"Canal 12 Blog","2015","4","589"
"Canal 10 de Cordoba","2015","6","581"
"Canal 10 de Cordoba","2015","8","578"
"Canal 10 de Cordoba","2015","5","566"
"Canal 10 de Cordoba","2015","3","565"
"Canal 10 de Cordoba","2015","11","561"
"Canal 10 de Cordoba","2016","5","558"
"Canal 10 de Cordoba","2015","4","552"
"Canal 10 de Cordoba","2016","12","520"
"Canal 10 de Cordoba","2016","4","491"
"Canal 10 de Cordoba","2016","6","479"
"Canal 10 de Cordoba","2016","3","458"
"Canal 10 de Cordoba","2015","12","439"
"Canal 12 Blog","2015","2","419"
"Canal 10 de Cordoba","2016","2","400"
"Canal 10 de Cordoba","2015","2","399"
"Canal 10 de Cordoba","2016","1","376"
"Canal 10 de Cordoba","2015","1","329"
"Canal 12 Blog","2015","1","294"
"Canal 12 Blog","2015","5","274"
"Gobierno de Cordoba Argentina","2016","12","103"
"Gobierno de Cordoba Argentina","2016","4","102"
"Gobierno de Cordoba Argentina","2016","10","90"
"Gobierno de Cordoba Argentina","2016","11","85"
"Gobierno de Cordoba Argentina","2016","5","82"
"Gobierno de Cordoba Argentina","2015","12","77"
"Gobierno de Cordoba Argentina","2015","4","74"
"Gobierno de Cordoba Argentina","2015","9","72"
